date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:53	1097/1097	---M--	200	added ('OK')	image/png	etag:%22993ee8c455f8e408%22	../wp-content/uploads/2019/02/icone-natalia-faria-b.png?fit=32%2C32&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/icone-natalia-faria-be43b.png	(from https://nataliafaria.arq.br/)
17:15:53	2069/2069	---M--	200	added ('OK')	image/png	etag:%2264f3d52e9716872e%22	../wp-content/uploads/2019/02/icone-natalia-faria-b.png?fit=64%2C64&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/icone-natalia-faria-b795b.png	(from https://nataliafaria.arq.br/)
17:15:54	14980/14980	---MCZ	200	added ('OK')	text/css	etag:W/%2263b4b34b-3a84%22	https://nataliafaria.arq.br/wp-content/et-cache/263/et-core-unified-deferred-263.min.css?ver=1672786763	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/et-cache/263/et-core-unified-deferred-263.mincef7.css	(from https://nataliafaria.arq.br/)
17:15:55	14652/14652	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c6b5f48-393c%22	https://nataliafaria.arq.br/wp-content/uploads/2019/02/logo-natalia-faria-arquitetura-h-w.svg	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/uploads/2019/02/logo-natalia-faria-arquitetura-h-w.svg	(from https://nataliafaria.arq.br/)
17:15:56	299043/299043	---M--	200	added ('OK')	image/png	etag:%22d5a4df1917295236%22	../../../wp-content/uploads/2019/02/Novo-lar-do-Thiago-Erika-e-Antonia-Varanda.png?w=1080&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/Novo-lar-do-Thiago-Erika-e-Antonia-Varanda.png	(from https://nataliafaria.arq.br/)
17:15:56	261913/261913	---M--	200	added ('OK')	image/jpeg	etag:%225cc9f35a-3ff19%22	https://nataliafaria.arq.br/wp-content/uploads/2019/05/erika-sala-2.jpg	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/wp-content/uploads/2019/05/erika-sala-2.jpg	(from https://nataliafaria.arq.br/)
17:15:57	370146/370146	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:41%20GMT	https://nataliafaria.arq.br/projetos/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/projetos/index.html	(from https://nataliafaria.arq.br/)
17:15:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:41%20GMT	https://nataliafaria.arq.br/novo-lar-thiago-erika-e-antonia	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/novo-lar-thiago-erika-e-antonia.21.delayed	(from https://nataliafaria.arq.br/)
17:15:58	341652/341652	---M--	200	added ('OK')	image/png	etag:%22979cb089bb0cf5d0%22	../wp-content/uploads/2019/02/Renovando-o-lar-da-Mayre-Sala-i%cc%81ntima-1.png?w=1080&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/Renovando-o-lar-da-Mayre-Sala-i%cc%81ntima-1.png	(from https://nataliafaria.arq.br/)
17:16:00	351907/351907	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:43%20GMT	https://nataliafaria.arq.br/novo-lar-thiago-erika-e-antonia/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/novo-lar-thiago-erika-e-antonia/index.html	(from https://nataliafaria.arq.br/)
